Package Name,App Version Code,App Version Name,Reviewer Language,Device,Review Submit Date and Time,Review Submit Millis Since Epoch,Review Last Update Date and Time,Review Last Update Millis Since Epoch,Star Rating,Review Title,Review Text,Developer Reply Date and Time,Developer Reply Millis Since Epoch,Developer Reply Text,Review Link
com.pos.bisaaiacademy,65,2.0.0.6,id,CPH1725,2021-07-12T14:29:29Z,1626100169681,2021-07-12T14:29:29Z,1626100169681,5,,Sangat bagus sekali dan bermanfaat banget. Harus dicoba dan banyak fitur. menarik,,,,http://play.google.com/console/developers/5503680119852528524/app/4974992186025108736/user-feedback/review-details?reviewId=gp:AOqpTOF2mL0QK4C8pTYFah8e5l8uE_Z53BaJEx_DE1tCWOYEt7QSSHHyXPvqADi3znHYVPgFowaWj6bBE58n&corpus=PUBLIC_REVIEWS
com.pos.bisaaiacademy,,,id,ASUS_X00T_2,2021-07-12T15:58:16Z,1626105496020,2021-07-12T15:58:16Z,1626105496020,5,,"Aplikasinya sangat menarik dan membantu dalam belajar seputar IT, serta fitur yang disediakan pada aplikasi ini juga sangat bagus dan bermanfaat.",,,,http://play.google.com/console/developers/5503680119852528524/app/4974992186025108736/user-feedback/review-details?reviewId=gp:AOqpTOFGd6yaz9AKzt49fbBc-7nt3fsAKXHNIiUOFABGrzHOTL36z1y9dKZ76ykHuxCoeX-ljEH7RPnBrKPf&corpus=PUBLIC_REVIEWS
com.pos.bisaaiacademy,65,2.0.0.6,en,jackpot2lte,2021-07-13T07:05:25Z,1626159925507,2021-07-13T07:05:25Z,1626159925507,5,,Aplikasinya keren dan sangat membantu,,,,http://play.google.com/console/developers/5503680119852528524/app/4974992186025108736/user-feedback/review-details?reviewId=gp:AOqpTOErxs0Gt7qcND0DcI1Inr-wVcP-2Sem2SKn09MZsyr-tgKO2rYoqFEbwgmo5GRg19sN-yrrbiK10orT&corpus=PUBLIC_REVIEWS
com.pos.bisaaiacademy,65,2.0.0.6,en,a31,2021-07-13T14:11:38Z,1626185498593,2021-07-13T14:11:38Z,1626185498593,5,,very great app for learning!,,,,http://play.google.com/console/developers/5503680119852528524/app/4974992186025108736/user-feedback/review-details?reviewId=gp:AOqpTOEr2lf4JYG3OjIUKuUNCYj4ejRT84dutLKx9L6wLMeBFYmfIWUsIssvB6dexnBdpMOvzea2fUa9s_Z5&corpus=PUBLIC_REVIEWS
com.pos.bisaaiacademy,65,2.0.0.6,id,joyeuse,2021-07-14T08:40:58Z,1626252058349,2021-07-14T08:40:58Z,1626252058349,5,,,,,,
com.pos.bisaaiacademy,,,id,a31,2021-07-14T08:45:33Z,1626252333365,2021-07-14T08:45:33Z,1626252333365,5,,mantap,,,,http://play.google.com/console/developers/5503680119852528524/app/4974992186025108736/user-feedback/review-details?reviewId=gp:AOqpTOEch0Z2cOaozAdMp1jNxPcj4lKuiXPXV2JJyCKlZjyXtBxQEBBZlKWhK5fybKGIOj7ZajmnPYlQiJr2&corpus=PUBLIC_REVIEWS
com.pos.bisaaiacademy,65,2.0.0.6,en,elsa,2021-07-14T09:45:57Z,1626255957640,2021-07-14T09:45:57Z,1626255957640,5,,Nice apps 💥,,,,http://play.google.com/console/developers/5503680119852528524/app/4974992186025108736/user-feedback/review-details?reviewId=gp:AOqpTOH0uV9H4vzJhJjKrmI_K7FQkX4MbBZ1VGT9xmw4VTqyQw2ZC9GtrdIZPEQr83DTQgk1N0pwgpyltVQZ&corpus=PUBLIC_REVIEWS
com.pos.bisaaiacademy,65,2.0.0.6,id,j7elte,2021-07-14T09:59:27Z,1626256767432,2021-07-14T09:59:27Z,1626256767432,5,,"Aplikasi yang sangat direkomendasikan bagi anda yg ingin menambah pengetahuan dan memperdalam skill mengenai AI,IoT, dan dafa science. pemater sangat berpengalaman dan asik mengajarnya, materi sangat menarik dan mudah dipahami ditambah banhak sekalu course pilihan yang pastinya tidak akan membuat anda kehabisan materi untuk belajar daannn hal menarik lainnya adalah bisa mendapatkan e-sertifiikat setelah menyelesaikan course. 😊😊😊 Diharapkan dapat tetap meningkatkan fitur2 pembantu yang membant",,,,http://play.google.com/console/developers/5503680119852528524/app/4974992186025108736/user-feedback/review-details?reviewId=gp:AOqpTOFQl7VWLp86o4ihdpq-9T6KtIYQTkDdTV2zzybq3ovPo3bq88gTpPZh2P51tnjBSbG-UinPQAHx1oVs&corpus=PUBLIC_REVIEWS
com.pos.bisaaiacademy,65,2.0.0.6,en,c9lte,2021-07-14T10:58:49Z,1626260329269,2021-07-14T10:58:49Z,1626260329269,5,,Patut untuk dicoba untuk teman-teman yang tertarik dalam dunia Data Science!,,,,http://play.google.com/console/developers/5503680119852528524/app/4974992186025108736/user-feedback/review-details?reviewId=gp:AOqpTOEDI8_Pf-7zc0PN9gXCBk2kLGENSfYvTcXjOk6tIIzOjTHfo-xbp-QECGzUTQce-a-EC7A3_vSba3bU&corpus=PUBLIC_REVIEWS
com.pos.bisaaiacademy,65,2.0.0.6,id,RMX1851,2021-07-14T10:59:54Z,1626260394886,2021-07-14T11:01:07Z,1626260467344,5,,Terima kasih telah menjadi wadah belajar bagi saya. Materinya lengkap👍,,,,http://play.google.com/console/developers/5503680119852528524/app/4974992186025108736/user-feedback/review-details?reviewId=gp:AOqpTOGD2FeqgWaq2OnAFusg9S8YbJOwEL3XN_5nZ_TSrrJMjzi53TZ0lpXaBJ5v9hBnCooG5NrfJBjD4Q9A&corpus=PUBLIC_REVIEWS
